                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.565,                 5.5741,                 4.2854,                      0,                      0,                      0,                      0,                 3.3258,                 5.7151,                 4.1591,              1.052e-05,              1.052e-05,              1.052e-05
                      2,                  3.573,                 5.5875,                 4.2444,                      0,                      0,                      0,                      0,                 3.3257,                 5.7152,                 4.1592,             2.6274e-05,             2.6274e-05,             2.6274e-05
                      3,                 3.6909,                 5.6072,                 4.3122,                      0,                      0,                      0,                      0,                 3.3255,                 5.7154,                 4.1593,             4.1997e-05,             4.1997e-05,             4.1997e-05
                      4,                 3.5798,                 5.4833,                 4.2669,                      0,                      0,                      0,                      0,                 3.3252,                 5.7158,                 4.1594,             5.7688e-05,             5.7688e-05,             5.7688e-05
                      5,                 3.7146,                 5.5539,                 4.2503,                      0,                      0,                      0,                      0,                 3.3248,                 5.7164,                 4.1593,             7.3348e-05,             7.3348e-05,             7.3348e-05
                      6,                 3.5212,                 5.7244,                 4.2943,                      0,                      0,                      0,                      0,                 3.3243,                 5.7169,                 4.1593,             8.8977e-05,             8.8977e-05,             8.8977e-05
                      7,                 3.8054,                 5.5469,                 4.2328,                      0,                      0,                      0,                      0,                 3.3232,                  5.718,                 4.1592,             0.00010458,             0.00010458,             0.00010458
                      8,                 3.3853,                 5.3877,                 4.2119,                      0,                      0,                      0,                      0,                 3.3225,                 5.7184,                  4.159,             0.00012014,             0.00012014,             0.00012014
                      9,                 3.5008,                 5.5618,                 4.2182,                      0,                      0,                      0,                      0,                 3.3241,                 5.7133,                 4.1583,             0.00013568,             0.00013568,             0.00013568
                     10,                 3.5806,                 5.4154,                 4.1885,                      0,                      0,                      0,                      0,                  3.323,                 5.7132,                  4.158,             0.00015118,             0.00015118,             0.00015118
                     11,                 3.1478,                 5.3978,                 4.1854,                      0,                      0,                      0,                      0,                 3.3271,                 5.7014,                 4.1565,             0.00016665,             0.00016665,             0.00016665
                     12,                 3.3665,                 5.5058,                 4.1949,                      0,                      0,                      0,                      0,                 3.3251,                 5.7011,                 4.1557,              0.0001821,              0.0001821,              0.0001821
                     13,                 3.5693,                 5.4647,                 4.1726,                      0,                      0,                      0,                      0,                 3.3244,                 5.6942,                  4.154,             0.00019751,             0.00019751,             0.00019751
                     14,                 3.2935,                 5.4516,                 4.1709,                      0,                      0,                      0,                      0,                 3.3221,                 5.6932,                 4.1531,             0.00021288,             0.00021288,             0.00021288
                     15,                 3.5194,                 5.4197,                 4.1411,                      0,                      0,                      0,                      0,                 3.3183,                 5.6923,                 4.1508,             0.00022823,             0.00022823,             0.00022823
                     16,                 3.2367,                 5.4087,                 4.1055,                      0,                      0,                      0,                      0,                 3.3172,                 5.6899,                 4.1499,             0.00024355,             0.00024355,             0.00024355
                     17,                 3.4999,                 5.5108,                 4.0863,                      0,                      0,                      0,                      0,                 3.3149,                 5.6788,                 4.1479,             0.00025883,             0.00025883,             0.00025883
                     18,                 3.3741,                 5.4452,                 4.1127,                      0,                      0,                      0,                      0,                 3.3078,                 5.6793,                 4.1464,             0.00027409,             0.00027409,             0.00027409
                     19,                 3.4215,                 5.1725,                 4.0761,                      0,                      0,                      0,                      0,                 3.3024,                 5.6757,                 4.1444,             0.00028931,             0.00028931,             0.00028931
                     20,                  3.341,                 5.2019,                 4.0506,                      0,                      0,                      0,                      0,                  3.291,                 5.6794,                 4.1433,              0.0003045,              0.0003045,              0.0003045
                     21,                 3.3794,                 5.2739,                 4.0358,                      0,                      0,                      0,                      0,                 3.2792,                 5.6762,                 4.1392,             0.00031966,             0.00031966,             0.00031966
                     22,                 3.2917,                 5.2334,                 3.9987,                      0,                      0,                      0,                      0,                 3.2715,                 5.6662,                 4.1357,             0.00033479,             0.00033479,             0.00033479
                     23,                 3.1115,                 5.1869,                  3.989,                      0,                      0,                      0,                      0,                 3.2641,                 5.6556,                 4.1321,             0.00034989,             0.00034989,             0.00034989
                     24,                 3.0658,                 5.1997,                  3.995,                      0,                      0,                      0,                      0,                 3.2586,                 5.6455,                  4.129,             0.00036496,             0.00036496,             0.00036496
                     25,                 3.1139,                 5.0073,                  3.992,                      0,                      0,                      0,                      0,                 3.2567,                 5.6362,                 4.1267,             0.00037999,             0.00037999,             0.00037999
                     26,                 3.0833,                 5.1814,                  3.915,                      0,                      0,                      0,                      0,                 3.2677,                 5.6122,                 4.1231,               0.000395,               0.000395,               0.000395
                     27,                 3.2105,                 5.2314,                  4.012,                      0,                      0,                      0,                      0,                 3.2739,                 5.6028,                 4.1284,             0.00040997,             0.00040997,             0.00040997
                     28,                 3.0388,                 5.0674,                 3.8317,                      0,                      0,                      0,                      0,                 3.3016,                  5.608,                 4.1447,             0.00042491,             0.00042491,             0.00042491
                     29,                  3.013,                 4.9409,                  3.823,                      0,                      0,                      0,                      0,                 3.3016,                  5.608,                 4.1447,             0.00043982,             0.00043982,             0.00043982
                     30,                 3.0761,                 4.9856,                 3.8598,                      0,                      0,                      0,                      0,                  3.336,                  5.596,                 4.1365,              0.0004547,              0.0004547,              0.0004547
                     31,                 3.0551,                 4.9745,                 3.8346,                      0,                      0,                      0,                      0,                 3.2953,                 5.5726,                 4.1119,             0.00046955,             0.00046955,             0.00046955
                     32,                 2.9526,                 4.8322,                 3.7981,                      0,                      0,                      0,                      0,                 3.1995,                 5.5692,                 4.0645,             0.00048436,             0.00048436,             0.00048436
                     33,                 2.9127,                 4.7101,                 3.7081,                      0,                      0,                      0,                      0,                 3.1995,                 5.5692,                 4.0645,             0.00049915,             0.00049915,             0.00049915
                     34,                 2.8975,                 4.8916,                 3.7377,                      0,                      0,                      0,                      0,                 3.1058,                 5.5701,                 4.0165,             0.00050882,             0.00050882,             0.00050882
                     35,                 3.2973,                 4.9345,                   3.78,                0.00016,                0.06032,                 0.0121,                0.00179,                  3.045,                 5.5358,                  3.932,             0.00050882,             0.00050882,             0.00050882
                     36,                 2.9549,                 4.8074,                 3.6928,                0.00018,                0.07365,                0.01205,                0.00167,                 3.0559,                 5.5138,                 3.8766,             0.00050829,             0.00050829,             0.00050829
                     37,                 3.0307,                 4.7656,                 3.6217,                0.00018,                0.07365,                0.01205,                0.00167,                 3.0559,                 5.5138,                 3.8766,             0.00050777,             0.00050777,             0.00050777
                     38,                 2.9617,                 4.8175,                  3.681,                0.00012,                0.06095,                0.01359,                0.00445,                 3.0647,                 5.4895,                 3.8195,             0.00050725,             0.00050725,             0.00050725
                     39,                 3.0065,                 4.5994,                 3.6359,                0.00014,                0.06095,                0.00665,                 0.0024,                 3.0611,                 5.4772,                 3.7952,             0.00050673,             0.00050673,             0.00050673
                     40,                 2.9253,                 4.6507,                  3.632,                0.00077,                 0.0927,                0.00861,                 0.0029,                 3.0722,                 5.4462,                 3.7936,             0.00050621,             0.00050621,             0.00050621
                     41,                 2.8505,                  4.857,                 3.6175,                0.00077,                 0.0927,                0.00861,                 0.0029,                 3.0722,                 5.4462,                 3.7936,             0.00050569,             0.00050569,             0.00050569
                     42,                 2.7953,                 4.7053,                 3.5796,                0.00184,                 0.0927,                0.00954,                0.00282,                 3.0777,                 5.4471,                 3.8078,             0.00050517,             0.00050517,             0.00050517
                     43,                 2.9003,                 4.5751,                 3.6101,                0.00166,                0.10011,                0.01576,                0.00395,                 3.0795,                 5.3809,                 3.8222,             0.00050465,             0.00050465,             0.00050465
                     44,                 2.7576,                 4.6025,                  3.585,                0.74599,                0.00741,                0.01106,                0.00373,                 3.1035,                 5.3022,                 3.8839,             0.00050413,             0.00050413,             0.00050413
                     45,                 2.8645,                 4.6732,                 3.4166,                0.74599,                0.00741,                0.01106,                0.00373,                 3.1035,                 5.3022,                 3.8839,             0.00050361,             0.00050361,             0.00050361
                     46,                 2.9302,                 4.6343,                 3.4691,                 0.7454,                0.02646,                0.00981,                0.00278,                 3.0065,                 5.3829,                 3.9924,             0.00050309,             0.00050309,             0.00050309
                     47,                  2.791,                 4.5075,                 3.4645,                0.83103,                0.01693,                0.01108,                0.00303,                 2.8617,                 5.6893,                 3.9173,             0.00050257,             0.00050257,             0.00050257
                     48,                 2.8342,                 4.6356,                  3.483,                0.88062,                0.02646,                0.01715,                0.00601,                 2.6838,                 6.7465,                 3.8371,             0.00050205,             0.00050205,             0.00050205
                     49,                 3.0709,                 4.5186,                  3.475,                0.88062,                0.02646,                0.01715,                0.00601,                 2.6838,                 6.7465,                 3.8371,             0.00050153,             0.00050153,             0.00050153
                     50,                 2.6694,                 4.4354,                 3.4407,                0.01521,                0.36857,                0.04408,                0.01597,                 2.5511,                 7.0255,                 3.5845,               0.000501,               0.000501,               0.000501
                     51,                 2.7888,                 4.4035,                 3.3926,                 0.0133,                0.42079,                0.05522,                0.02098,                 2.5105,                 7.1775,                 3.4987,             0.00050048,             0.00050048,             0.00050048
                     52,                  2.865,                 4.4892,                 3.3556,                0.61894,                0.08382,                 0.0533,                 0.0203,                 2.5004,                 6.5489,                 3.4461,             0.00049996,             0.00049996,             0.00049996
                     53,                 2.7254,                 4.2622,                 3.3567,                0.61894,                0.08382,                 0.0533,                 0.0203,                 2.5004,                 6.5489,                 3.4461,             0.00049944,             0.00049944,             0.00049944
                     54,                 2.8257,                 4.4728,                 3.3512,                0.76196,                0.04497,                0.05139,                 0.0226,                 2.3667,                 5.8892,                 3.3238,             0.00049892,             0.00049892,             0.00049892
                     55,                 2.9292,                 4.5188,                 3.3497,                0.76762,                0.03016,                0.03991,                0.01503,                 2.3731,                 5.9481,                 3.3032,              0.0004984,              0.0004984,              0.0004984
                     56,                 2.7062,                 4.3959,                 3.2583,                0.47667,                0.11904,                0.04066,                0.01493,                 2.3966,                 7.7603,                 3.2761,             0.00049788,             0.00049788,             0.00049788
                     57,                 2.9009,                 4.6951,                 3.3718,                0.47667,                0.11904,                0.04066,                0.01493,                 2.3966,                 7.7603,                 3.2761,             0.00049736,             0.00049736,             0.00049736
                     58,                 2.6965,                 4.2342,                 3.2167,                0.89063,                0.01905,                0.03391,                0.01339,                  2.431,                 10.418,                 3.1893,             0.00049684,             0.00049684,             0.00049684
                     59,                 2.7409,                 4.2833,                 3.2294,                0.83184,                 0.0381,                0.04978,                0.01175,                 2.4906,                 9.7583,                 3.1329,             0.00049632,             0.00049632,             0.00049632
